Название валюты,Текущий курс в рублях,Изменение
Российский рубль,1,0
Доллар США,90.3846,-0.4699
Евро,100.6562,-1.1768
Австралийский доллар,61.2356,-0.7999
Азербайджанский манат,53.1674,-0.2764
Армянский драм,23.3866,-0.1332
Бат,26.3645,-0.421
Белорусский рубль,29.9406,-0.0622
Болгарский лев,51.7459,-0.3824
Бразильский реал,18.8753,-0.0539
Венгерский форинт,26.4221,-0.3865
Вона Республики Корея,70.4259,-1.1187
Гонконгский доллар,11.5833,-0.0677
Датская крона,13.5829,-0.1012
Дирхам (оаэ),24.6078,-0.128
Индийская рупия,11.0088,-0.0548
Казахстанский тенге,20.3574,-0.1663
Канадский доллар,68.6239,-0.3621
Киргизский сом,10.2862,-0.0534
Китайский юань,12.5784,-0.0671
Молдавский лей,51.5291,-0.0397
Новый румынский лей,20.3688,-0.2514
Новый туркменский манат,25.8242,-0.1342
Норвежская крона,89.9949,-1.0107
Польский злотый,22.5578,-0.3056
СДР (специальные права заимствования),122.1141,-0.5567
Сингапурский доллар,68.1222,-0.5924
Таджикский сомони,82.7774,-0.4113
Турецкая лира,33.5852,-0.1639
Узбекский сум,77.9649,-0.3572
Украинская гривна,24.5935,-0.0067
Фунт стерлингов Соединенного королевства,116.1532,-0.9128
Чешская крона,42.2378,-0.3689
Шведская крона,87.2699,-1.2339
Швейцарский франк,104.4426,-1.055
Южноафриканский рэнд,50.3367,-0.7991
Японская иена,64.5604,-0.5216
